asin,title,img_url,stars,review_count,price,list_price,category_id,is_best_seller,bought_in_last_month
B08HQ8VY3Q,"Universal Remote Control Compatible for Samsung Smart-TV LCD LED UHD QLED 4K HDR TVs, with Netflix, Prime Video Buttons",https://m.media-amazon.com/images/I/51sc9zldPCL._AC_UL320_.jpg,4.3,9809,12.97,0.0,69,0,0
B006LW0W5Y,"Amazon Basics 16-Gauge Speaker Wire Cable, 100 Feet, Bronze",https://m.media-amazon.com/images/I/718x1vTL4EL._AC_UL320_.jpg,4.7,67758,16.44,0.0,69,1,0
B0BM739JRF,"ELEGOO PLA Filament 1.75mm Black 1KG, 3D Printer Filament Dimensional Accuracy +/- 0.02mm, 1kg Cardboard Spool(2.2lbs) 3D Printing Filament Fits for Most FDM 3D Printers",https://m.media-amazon.com/images/I/719nXXduqAL._AC_UL320_.jpg,4.4,1562,13.99,0.0,157,0,1000
B07FQDKR28,"eSUN PLA+ Filament 1.75mm, 3D Printer Filament PLA Plus, Dimensional Accuracy +/- 0.03mm, 1KG Spool (2.2 LBS) 3D Printing Filament for 3D Printers, Black",https://m.media-amazon.com/images/I/71dp4W4SkOL._AC_UL320_.jpg,4.4,6633,22.99,0.0,157,0,1000
B086YPDHMF,Capricorn Bowden PTFE Tubing 1M XS Series 1.75MM Filament with 2X PC4-M6 & 2X PC4-M10 Pneumatic Fittings & Tube Cutter for Creality Ender 3 V2/ Ender 3/ Ender 3 Pro/Ender 5/ CR-10/10S 3D Printer,https://m.media-amazon.com/images/I/61KJEdpuPkL._AC_UL320_.jpg,4.7,4759,11.99,14.99,157,0,1000
B08CXLLCH4,"Mefine Creality Ender 3 Glass Bed Upgraded 3D Printer Tempered Glass Plate Build Surface for Ender 3/Ender 3 Pro/Ender 3 V2/Ender 5/Ender 5 Pro/Ender 3 S1, 235x235x4mm",https://m.media-amazon.com/images/I/71eKPYfbQ+S._AC_UL320_.jpg,4.6,2181,15.99,23.99,157,1,1000
B074W1XFRX,"Gizmo Dorks PLA Filament for 3D Printers 1.75mm 200g, 4 Color Pack - Blue, Green, Orange, Red",https://m.media-amazon.com/images/I/71fFJaGBnCL._AC_UL320_.jpg,4.4,4962,24.95,29.95,157,0,800
B094JD7T7V,"Sovol 3D Stainless Steel Funnel, Resin Funnel Filter Cup for SLA/DLP/LCD Resin 3D Printer UV Resin, Double-Strainer Filter for 3D Printing Liquid",https://m.media-amazon.com/images/I/61r3uEP6CFL._AC_UL320_.jpg,4.7,1656,9.99,0.0,157,0,1000
B09DKPYYBP,"Polymaker ASA Filament 1.75mm Black, 1kg ASA 3D Printer Filament, Heat & Weather Resistant - ASA 3D Filament Perfect for Printing Outdoor Functional Parts, Dimensional Accuracy +/- 0.03mm",https://m.media-amazon.com/images/I/81E2x4uvYBL._AC_UL320_.jpg,4.6,1194,29.99,0.0,157,0,700
B0B1ZV6CJM,"SUNLU PLA Meta 3D Printer Filament, Neatly Wound PLA Filament 1.75mm, Toughness, Highly Fluid, Fast Printing for 3D Printer, Dimensional Accuracy +/- 0.02 mm (2.2lbs), 330 Meters, 1 KG Spool, Black",https://m.media-amazon.com/images/I/71k4hrWeQRL._AC_UL320_.jpg,4.4,5300,15.99,0.0,157,0,700
B0BQ39KF4X,"Kingroon PLA 3D Printer Filament, Triple Color Silk PLA Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool(2.2lbs), 1.75 mm, Red Blue Green",https://m.media-amazon.com/images/I/71jMxHH2GwL._AC_UL320_.jpg,4.3,224,17.82,0.0,157,0,600
